item,id
tazo full leaf red tea latte (vanilla rooibos) short 2% milk,538
tazo full leaf red tea latte (vanilla rooibos) short soymilk,539
tazo full leaf red tea latte (vanilla rooibos) tall nonfat milk,540
tazo full leaf red tea latte (vanilla rooibos) tall 2% milk,541
tazo full leaf red tea latte (vanilla rooibos) tall soymilk,542
tazo full leaf red tea latte (vanilla rooibos) grande nonfat milk,543
tazo full leaf red tea latte (vanilla rooibos) grande 2% milk,544
tazo full leaf red tea latte (vanilla rooibos) grande soymilk,545
tazo full leaf red tea latte (vanilla rooibos) venti nonfat milk,546
tazo full leaf red tea latte (vanilla rooibos) venti 2% milk,547
tazo full leaf red tea latte (vanilla rooibos) venti soymilk,548
iced brewed coffee (with classic syrup) tall,549
iced brewed coffee (with classic syrup) grande,550
iced brewed coffee (with classic syrup) venti,551
iced brewed coffee (with milk & classic syrup) tall nonfat milk,552
iced brewed coffee (with milk & classic syrup) tall  2% milk,553
iced brewed coffee (with milk & classic syrup) tall soymilk,554
iced brewed coffee (with milk & classic syrup) grande nonfat milk,555
iced brewed coffee (with milk & classic syrup) grande 2% milk,556
iced brewed coffee (with milk & classic syrup) grande soymilk,557
iced brewed coffee (with milk & classic syrup) venti nonfat milk,558
iced brewed coffee (with milk & classic syrup) venti  2% milk,559
iced brewed coffee (with milk & classic syrup) venti  soymilk,560
shaken iced tazo tea (with classic syrup) tall,561
shaken iced tazo tea (with classic syrup) grande,562
shaken iced tazo tea (with classic syrup) venti,563
shaken iced tazo tea lemonade (with classic syrup) tall,564
shaken iced tazo tea lemonade (with classic syrup) grande,565
shaken iced tazo tea lemonade (with classic syrup) venti,566
banana chocolate smoothie grande nonfat milk,567
banana chocolate smoothie grande 2% milk,568
banana chocolate smoothie grande soymilk,569
orange mango banana smoothie tall nonfat milk,570
orange mango banana smoothie tall 2% milk,571
orange mango banana smoothie tall soymilk,572
strawberry banana smoothie grande nonfat milk,573
strawberry banana smoothie grande 2% milk,574
strawberry banana smoothie grande soymilk,575
coffee tall nonfat milk,576
coffee tall whole milk,577
coffee tall soymilk,578
coffee grande nonfat milk,579
coffee grande whole milk,580
coffee grande soymilk,581
coffee venti nonfat milk,582
coffee venti whole milk,583
coffee venti  soymilk,584
mocha (without whipped cream) tall nonfat milk,585
mocha (without whipped cream) tall whole milk,586
mocha (without whipped cream) tall soymilk,587
mocha (without whipped cream) grande nonfat milk,588
mocha (without whipped cream) grande whole milk,589
mocha (without whipped cream) grande soymilk,590
mocha (without whipped cream) venti nonfat milk,591
mocha (without whipped cream) venti whole milk,592
mocha (without whipped cream) venti soymilk,593
caramel (without whipped cream) tall nonfat milk,594
caramel (without whipped cream) tall whole milk,595
caramel (without whipped cream) tall soymilk,596
caramel (without whipped cream) grande nonfat milk,597
caramel (without whipped cream) grande whole milk,598
caramel (without whipped cream) grande soymilk,599
caramel (without whipped cream) venti nonfat milk,600
caramel (without whipped cream) venti whole milk,601
caramel (without whipped cream) venti  soymilk,602
java chip (without whipped cream) tall nonfat milk,603
java chip (without whipped cream) tall whole milk,604
java chip (without whipped cream) tall soymilk,605
java chip (without whipped cream) grande nonfat milk,606
java chip (without whipped cream) grande whole milk,607
java chip (without whipped cream) grande soymilk,608
java chip (without whipped cream) venti nonfat milk,609
java chip (without whipped cream) venti  whole milk,610
java chip (without whipped cream) venti soymilk,611
light blended coffee tall nonfat milk,612
light blended coffee grande nonfat milk,613
light blended coffee venti nonfat milk,614
mocha tall nonfat milk,615
mocha grande nonfat milk,616
mocha venti nonfat milk,617
caramel tall nonfat milk,618
caramel grande nonfat milk,619
caramel venti nonfat milk,620
java chip tall nonfat milk,621
java chip grande nonfat milk,622
java chip venti nonfat milk,623
strawberries & creme (without whipped cream) tall nonfat milk,624
strawberries & creme (without whipped cream) tall  whole milk,625
strawberries & creme (without whipped cream) tall  soymilk,626
strawberries & creme (without whipped cream) grande nonfat milk,627
strawberries & creme (without whipped cream) grande whole milk,628
strawberries & creme (without whipped cream) grande soymilk,629
strawberries & creme (without whipped cream) venti nonfat milk,630
strawberries & creme (without whipped cream) venti whole milk,631
strawberries & creme (without whipped cream) venti  soymilk,632
vanilla bean (without whipped cream) tall nonfat milk,633
vanilla bean (without whipped cream) tall  whole milk,634
vanilla bean (without whipped cream) tall soymilk,635
vanilla bean (without whipped cream) grande nonfat milk,636
chonga bagel,637
8 grain roll,638
almond croissant,639
apple fritter,640
banana nut bread,641
blueberry muffin with yogurt and honey,642
blueberry scone,643
butter croissant,644
butterfly cookie,645
cheese danish,646
chewy chocolate cookie,647
starbucks chocolate chip cookie,648
chocolate chunk muffin,649
chocolate croissant,650
chocolate hazelnut croissant,651
chocolate marble loaf cake,652
cinnamon morning bun,653
cinnamon raisin bagel,654
classic coffee cake,655
cookie butter bar,656
cranberry orange scone,657
devil's food doughnut,658
double chocolate brownie,659
double chocolate chunk brownie,660
double chocolate loaf cake,661
everybody's favorite   bantam bagel (2 pack),662
everything bagel with cheese,663
frappuccino cookie straw,664
french toast   bantam bagels (2 pack),665
gluten free marshmallow dream bar,666
ice cream cone sugar cookie,667
iced lemon pound cake,668
michigan cherry oat bar,669
multigrain bagel,670
oatmeal cookie,671
octopus cookie,672
old fashioned glazed doughnut,673
peanut butter cup cookie,674
pecan tart,675
petite vanilla bean scone,676
plain bagel,677
pumpkin bread,678
raspberry swirl loaf cake,679
raspberry whoopie pie,680
reduced fat cinnamon swirl coffee cake,681
s'mores bar,682
s'mores bar multipack,683
sprouted grain vegan bagel,684
strawberry cake pop,685
the classic   bantam bagels (2 pack),686
toffeedoodle,687
vanilla bean whoopie pie,688
vermont maple walnut muffin,689
volpi pepperoni & tomato savory foldover,690
strawberries & jam sandwich,691
burrata & basil pesto small sandwich,692
cage free eggs & seasoned grains side salad,693
cauliflower tabbouleh side salad,694
cubano sandwich,695
farmers' market protein box,696
garden greens & shaved parmesan side salad,697
green goddess avocado salad,698
herbed chicken & fig spread small sandwich,699
honey bbq sriracha chicken sandwich,700
roasted carrot & kale side salad,701
roasted turkey & dill havarti sandwich,702
seared steak & cheddar sandwich,703
slow roasted ham & beecher's flagship cheese small sandwich,704
smoked mozzarella & roasted pepper sandwich,705
turkey & fire roasted corn salad,706
za'atar chicken & lemon tahini salad,707
bbq chicken protein box,708
cheese & fruit protein box,709
chicken wrap protein box,710
eggs & cheese protein box,711
pb&j protein box,712
smoked turkey protein box,713
birthday cake pop,714
chocolate cake pop,715
chocolate chip cookie dough cake pop,716
pirate cake pop,717
bacon gouda & egg breakfast sandwich,718
certified gluten free breakfast sandwich,719
classic whole grain oatmeal,720
double smoked bacon cheddar & egg sandwich,721
ham & cheese croissant,722
hearty blueberry oatmeal,723
reduced fat turkey bacon & cage free egg white breakfast sandwich,724
sausage cheddar & egg breakfast sandwich,725
seared steak egg & tomatillo wrap,726
slow roasted ham swiss & egg breakfast sandwich,727
sous vide egg bites: bacon & gruyere,728
sous vide egg bites: egg white & red pepper,729
spicy chorizo  monterey jack & egg breakfast sandwich,730
spinach feta & cage free egg white breakfast wrap,731
ancho chipotle chicken panini ,732
chicken & quinoa protein bowl with black beans and greens,733
chicken artichoke on ancient grain flatbread,734
chicken blt salad sandwich,735
egg salad sandwich,736
homestyle chicken & double smoked bacon,737
italian style ham & spicy salami,738
lentils & vegetable protein bowl with brown rice,739
roasted tomato & mozzarella panini,740
turkey & havarti sandwich,741
turkey pesto panini,742
berry trio yogurt,743
fresh blueberries and honey greek yogurt parfait,744
justin's chocolate hazelnut butter,745
justin's classic almond butter,746
lemon chiffon yogurt,747
organic avocado (spread),748
seasonal fruit blend,749
